GENE	DEGREE	NUM_SAMPLE_DEREGULATED	FREQUENCY_SAMPLE_DEREGULATED	NUM_SAMPLE_EXPLAINED	NUM_SAMPLE_EXPLAINED	FREQUENCY_SAMPLE_EXPLAINED	EXPLAINED\DEREGULATED	IS_PHENOTYPE
PLS3_DOWN	4	4	0.01	1	0.00	0.25	N	0.00000
PLSCR4_DOWN	2	3	0.01	1	0.00	0.33	N	0.00000
PNOC_DOWN	26	206	0.63	16	0.05	0.08	N	0.00000
POLR2I_DOWN	160	2	0.01	1	0.00	0.50	N	0.00000
POLR2K_DOWN	195	1	0.00	1	0.00	1.00	N	0.00000
PPFIA2_DOWN	7	221	0.67	13	0.04	0.06	N	0.00000
PPL_DOWN	3	134	0.41	16	0.05	0.12	N	0.00000
PPP1R1A_DOWN	15	231	0.70	104	0.32	0.45	Y	0.00000
PPP1R3C_DOWN	14	41	0.12	9	0.03	0.22	N	0.00000
PPP1R7_DOWN	1	11	0.03	5	0.02	0.45	N	0.00000
PPP2CA_DOWN	90	2	0.01	1	0.00	0.50	N	0.00000
PPP2R1A_DOWN	111	12	0.04	5	0.02	0.42	N	0.00000
PPP3CA_DOWN	38	69	0.21	62	0.19	0.90	N	0.00000
PPP3CB_DOWN	31	4	0.01	3	0.01	0.75	N	0.00000
PPP3R1_DOWN	28	57	0.17	27	0.08	0.47	N	0.00000
PRDX2_DOWN	5	1	0.00	1	0.00	1.00	N	0.00000
PRDX3_DOWN	6	1	0.00	1	0.00	1.00	N	0.00000
PRKACB_DOWN	81	36	0.11	33	0.10	0.92	N	0.00000
PRKAG2_DOWN	25	1	0.00	1	0.00	1.00	N	0.00000
PRKAR2B_DOWN	130	94	0.29	65	0.20	0.69	N	0.00000
PRNP_DOWN	28	26	0.08	16	0.05	0.62	N	0.00000
PRSS3_DOWN	8	288	0.88	105	0.32	0.36	N	0.00000
PSMA1_DOWN	112	1	0.00	1	0.00	1.00	N	0.00000
PSMA3_DOWN	125	1	0.00	1	0.00	1.00	N	0.00000
PSMB3_DOWN	112	1	0.00	1	0.00	1.00	N	0.00000
PSMB7_DOWN	110	1	0.00	1	0.00	1.00	N	0.00000
PSMC5_DOWN	104	3	0.01	2	0.01	0.67	N	0.00000
PSMD1_DOWN	97	3	0.01	2	0.01	0.67	N	0.00000
PSMD8_DOWN	99	2	0.01	1	0.00	0.50	N	0.00000
PTGDS_DOWN	4	180	0.55	2	0.01	0.01	N	0.00000
PTK2_DOWN	231	1	0.00	1	0.00	1.00	N	0.00000
PTN_DOWN	8	25	0.08	16	0.05	0.64	N	0.00000
PTPN4_DOWN	5	43	0.13	3	0.01	0.07	N	0.00000
PTPRA_DOWN	11	9	0.03	1	0.00	0.11	N	0.00000
PTPRD_DOWN	7	78	0.24	6	0.02	0.08	N	0.00000
PTPRE_DOWN	14	7	0.02	3	0.01	0.43	N	0.00000
PTPRF_DOWN	27	2	0.01	1	0.00	0.50	N	0.00000
PTPRN_DOWN	4	173	0.53	2	0.01	0.01	N	0.00000
PTPRO_DOWN	3	13	0.04	1	0.00	0.08	N	0.00000
PTPRR_DOWN	10	239	0.73	11	0.03	0.05	N	0.00000
PTPRZ1_DOWN	3	27	0.08	14	0.04	0.52	N	0.00000
PURA_DOWN	7	5	0.02	1	0.00	0.20	N	0.00000
PYGB_DOWN	9	2	0.01	1	0.00	0.50	N	0.00000
QDPR_DOWN	1	32	0.10	1	0.00	0.03	N	0.00000
RAB11FIP2_DOWN	7	4	0.01	3	0.01	0.75	N	0.00000
RAB11FIP5_DOWN	5	7	0.02	2	0.01	0.29	N	0.00000
RAB15_DOWN	4	142	0.43	83	0.25	0.58	Y	0.00000
RAB26_DOWN	2	75	0.23	51	0.16	0.68	N	0.00000
RAB3A_DOWN	32	243	0.74	211	0.64	0.87	Y	0.00000
RAB6B_DOWN	22	169	0.52	43	0.13	0.25	N	0.00000
RALBP1_DOWN	44	3	0.01	1	0.00	0.33	N	0.00000
RAMP1_DOWN	2	24	0.07	1	0.00	0.04	N	0.00000
RAN_DOWN	92	1	0.00	1	0.00	1.00	N	0.00000
RAP1GAP_DOWN	31	226	0.69	100	0.30	0.44	Y	0.00000
RAP2A_DOWN	28	17	0.05	9	0.03	0.53	N	0.00000
RAPGEF2_DOWN	9	23	0.07	10	0.03	0.43	N	0.00000
RAPGEF4_DOWN	8	215	0.66	15	0.05	0.07	N	0.00000
RAPGEF5_DOWN	4	145	0.44	16	0.05	0.11	N	0.00000
RASA1_DOWN	175	4	0.01	4	0.01	1.00	N	0.00000
RASGRP1_DOWN	6	134	0.41	1	0.00	0.01	N	0.00000
RCHY1_DOWN	4	1	0.00	1	0.00	1.00	N	0.00000
RELN_DOWN	46	174	0.53	92	0.28	0.53	Y	0.00000
RGL1_DOWN	11	21	0.06	8	0.02	0.38	N	0.00000
RGS17_DOWN	21	7	0.02	2	0.01	0.29	N	0.00000
RGS2_DOWN	14	6	0.02	2	0.01	0.33	N	0.00000
RGS20_DOWN	8	169	0.52	9	0.03	0.05	N	0.00000
RGS4_DOWN	30	309	0.94	50	0.15	0.16	N	0.00000
RGS5_DOWN	9	14	0.04	1	0.00	0.07	N	0.00000
RGS7_DOWN	10	62	0.19	4	0.01	0.06	N	0.00000
RHOB_DOWN	131	16	0.05	16	0.05	1.00	N	0.00000
RICH2_DOWN	19	274	0.84	11	0.03	0.04	N	0.00000
RICS_DOWN	33	88	0.27	12	0.04	0.14	N	0.00000
RIMS2_DOWN	8	214	0.65	169	0.52	0.79	Y	0.00000
RIT2_DOWN	10	146	0.45	17	0.05	0.12	N	0.00000
RNF11_DOWN	2	4	0.01	2	0.01	0.50	N	0.00000
RNF34_DOWN	1	1	0.00	1	0.00	1.00	N	0.00000
ROBO1_DOWN	16	4	0.01	3	0.01	0.75	N	0.00000
RORA_DOWN	7	3	0.01	2	0.01	0.67	N	0.00000
RPH3A_DOWN	13	213	0.65	154	0.47	0.72	Y	0.00000
RPRM_DOWN	3	31	0.09	7	0.02	0.23	N	0.00000
RPS6KA2_DOWN	25	30	0.09	7	0.02	0.23	N	0.00000
RRAGA_DOWN	2	5	0.02	1	0.00	0.20	N	0.00000
RTN1_DOWN	3	230	0.70	1	0.00	0.00	N	0.00000
RUNDC3A_DOWN	3	316	0.96	11	0.03	0.03	N	0.00000
RYR2_DOWN	31	285	0.87	141	0.43	0.49	Y	0.00000
RYR3_DOWN	28	55	0.17	28	0.09	0.51	N	0.00000
S100A1_DOWN	8	126	0.38	64	0.20	0.51	N	0.00000
S100B_DOWN	11	34	0.10	33	0.10	0.97	N	0.00000
SALL2_DOWN	7	15	0.05	2	0.01	0.13	N	0.00000
SATB1_DOWN	9	97	0.30	18	0.05	0.19	N	0.00000
SCG2_DOWN	1	70	0.21	8	0.02	0.11	N	0.00000
SCG3_DOWN	2	96	0.29	10	0.03	0.10	N	0.00000
SCN1B_DOWN	2	11	0.03	9	0.03	0.82	N	0.00000
SDC2_DOWN	94	3	0.01	3	0.01	1.00	N	0.00000
SDC3_DOWN	43	18	0.05	16	0.05	0.89	N	0.00000
SDC4_DOWN	51	20	0.06	16	0.05	0.80	N	0.00000
SDCCAG8_DOWN	66	12	0.04	2	0.01	0.17	N	0.00000
SDHB_DOWN	7	1	0.00	1	0.00	1.00	N	0.00000
SEC61A2_DOWN	29	26	0.08	12	0.04	0.46	N	0.00000
SEMA4A_DOWN	3	211	0.64	2	0.01	0.01	N	0.00000
SEPT4_DOWN	28	2	0.01	1	0.00	0.50	N	0.00000
SERINC1_DOWN	1	8	0.02	1	0.00	0.12	N	0.00000
SERPINE2_DOWN	4	19	0.06	6	0.02	0.32	N	0.00000
SERPING1_DOWN	10	2	0.01	2	0.01	1.00	N	0.00000
SERPINI1_DOWN	1	286	0.87	2	0.01	0.01	N	0.00000
SH3BGRL_DOWN	1	1	0.00	1	0.00	1.00	N	0.00000
SH3BP5_DOWN	9	33	0.10	5	0.02	0.15	N	0.00000
SH3GL2_DOWN	40	285	0.87	241	0.73	0.85	Y	0.00000
SH3GL3_DOWN	15	14	0.04	12	0.04	0.86	N	0.00000
SH3GLB2_DOWN	2	33	0.10	3	0.01	0.09	N	0.00000
SHC3_DOWN	78	52	0.16	44	0.13	0.85	Y	0.00000
SLC17A7_DOWN	9	317	0.97	242	0.74	0.76	Y	0.00000
SLC1A2_DOWN	2	235	0.72	3	0.01	0.01	N	0.00000
SLC1A3_DOWN	5	37	0.11	1	0.00	0.03	N	0.00000
SLC25A22_DOWN	1	22	0.07	1	0.00	0.05	N	0.00000
SLC25A4_DOWN	11	18	0.05	4	0.01	0.22	N	0.00000
SLC30A3_DOWN	1	315	0.96	1	0.00	0.00	N	0.00000
SLC4A3_DOWN	2	33	0.10	3	0.01	0.09	N	0.00000
SLC6A1_DOWN	1	96	0.29	86	0.26	0.90	Y	0.00000
SLIT1_DOWN	6	4	0.01	1	0.00	0.25	N	0.00000
SLIT2_DOWN	9	116	0.35	15	0.05	0.13	N	0.00000
SLN_DOWN	3	20	0.06	1	0.00	0.05	N	0.00000
SLPI_DOWN	4	12	0.04	1	0.00	0.08	N	0.00000
SMARCA4_DOWN	72	2	0.01	2	0.01	1.00	N	0.00000
SMARCD3_DOWN	23	35	0.11	20	0.06	0.57	Y	0.00000
SNAP25_DOWN	36	298	0.91	237	0.72	0.80	Y	0.00000
SNCA_DOWN	67	314	0.96	72	0.22	0.23	N	0.00000
SNCB_DOWN	10	309	0.94	18	0.05	0.06	N	0.00000
SNPH_DOWN	1	7	0.02	7	0.02	1.00	N	0.00000
SNX17_DOWN	7	1	0.00	1	0.00	1.00	N	0.00000
SOX9_DOWN	5	14	0.04	1	0.00	0.07	N	0.00000
SPARC_DOWN	11	5	0.02	3	0.01	0.60	N	0.00000
SPARCL1_DOWN	7	20	0.06	3	0.01	0.15	N	0.00000
SPINT2_DOWN	1	142	0.43	1	0.00	0.01	N	0.00000
SPON1_DOWN	2	7	0.02	1	0.00	0.14	N	0.00000
SPP1_DOWN	42	6	0.02	4	0.01	0.67	Y	0.00000
SPRY2_DOWN	49	7	0.02	7	0.02	1.00	N	0.00000
SPTAN1_DOWN	22	24	0.07	3	0.01	0.12	N	0.00000
SRGAP3_DOWN	20	51	0.16	3	0.01	0.06	N	0.00000
SRGN_DOWN	13	2	0.01	2	0.01	1.00	Y	0.00000
SRI_DOWN	6	2	0.01	1	0.00	0.50	N	0.00000
SST_DOWN	30	321	0.98	30	0.09	0.09	N	0.00000
STAM_DOWN	29	4	0.01	4	0.01	1.00	N	0.00000
STARD13_DOWN	23	2	0.01	1	0.00	0.50	N	0.00000
STAT4_DOWN	120	141	0.43	114	0.35	0.81	Y	0.00000
STMN2_DOWN	2	279	0.85	9	0.03	0.03	N	0.00000
STRN4_DOWN	13	1	0.00	1	0.00	1.00	N	0.00000
STX12_DOWN	18	3	0.01	3	0.01	1.00	N	0.00000
STX1A_DOWN	49	316	0.96	240	0.73	0.76	Y	0.00000
STXBP1_DOWN	26	296	0.90	236	0.72	0.80	Y	0.00000
STXBP6_DOWN	2	124	0.38	107	0.33	0.86	Y	0.00000
SULT1A1_DOWN	3	41	0.12	7	0.02	0.17	N	0.00000
SV2A_DOWN	12	138	0.42	11	0.03	0.08	N	0.00000
SV2B_DOWN	12	316	0.96	39	0.12	0.12	Y	0.00000
SV2C_DOWN	12	11	0.03	2	0.01	0.18	N	0.00000
SYN1_DOWN	11	316	0.96	251	0.77	0.79	Y	0.00000
SYN2_DOWN	5	316	0.96	249	0.76	0.79	Y	0.00000
SYNJ1_DOWN	45	28	0.09	26	0.08	0.93	N	0.00000
SYP_DOWN	3	175	0.53	1	0.00	0.01	N	0.00000
SYT1_DOWN	19	303	0.92	240	0.73	0.79	Y	0.00000
TAC1_DOWN	4	240	0.73	4	0.01	0.02	N	0.00000
TAC3_DOWN	4	287	0.88	7	0.02	0.02	N	0.00000
TAF9_DOWN	57	1	0.00	1	0.00	1.00	N	0.00000
TAGLN3_DOWN	1	278	0.85	39	0.12	0.14	N	0.00000
TCF4_DOWN	29	8	0.02	2	0.01	0.25	N	0.00000
TERF2_DOWN	15	35	0.11	2	0.01	0.06	N	0.00000
TERF2IP_DOWN	10	37	0.11	2	0.01	0.05	N	0.00000
TF_DOWN	11	135	0.41	59	0.18	0.44	N	0.00000
THBS2_DOWN	34	4	0.01	4	0.01	1.00	N	0.00000
THBS4_DOWN	33	3	0.01	2	0.01	0.67	N	0.00000
THY1_DOWN	6	84	0.26	4	0.01	0.05	N	0.00000
TIAM1_DOWN	51	17	0.05	15	0.05	0.88	N	0.00000
TLN2_DOWN	23	73	0.22	13	0.04	0.18	N	0.00000
TMEM47_DOWN	3	30	0.09	2	0.01	0.07	N	0.00000
TMOD1_DOWN	30	14	0.04	12	0.04	0.86	N	0.00000
TNNT1_DOWN	29	43	0.13	16	0.05	0.37	N	0.00000
TP53BP2_DOWN	12	1	0.00	1	0.00	1.00	N	0.00000
TPM1_DOWN	32	1	0.00	1	0.00	1.00	N	0.00000
TRIM37_DOWN	6	46	0.14	2	0.01	0.04	N	0.00000
TSC1_DOWN	19	7	0.02	1	0.00	0.14	N	0.00000
TSC22D1_DOWN	10	2	0.01	1	0.00	0.50	N	0.00000
TSPYL2_DOWN	1	191	0.58	1	0.00	0.01	N	0.00000
TTC3_DOWN	8	12	0.04	1	0.00	0.08	N	0.00000
TUBA1A_DOWN	105	5	0.02	3	0.01	0.60	N	0.00000
TUBA4A_DOWN	110	152	0.46	89	0.27	0.59	Y	0.00000
TUBB_DOWN	83	1	0.00	1	0.00	1.00	N	0.00000
TUBB2A_DOWN	38	33	0.10	15	0.05	0.45	N	0.00000
TUBB2B_DOWN	36	29	0.09	14	0.04	0.48	N	0.00000
TUBB3_DOWN	39	21	0.06	11	0.03	0.52	N	0.00000
TUBB4_DOWN	105	239	0.73	98	0.30	0.41	N	0.00000
