GENE	DEGREE	NUM_SAMPLE_DEREGULATED	FREQUENCY_SAMPLE_DEREGULATED	NUM_SAMPLE_EXPLAINED	NUM_SAMPLE_EXPLAINED	FREQUENCY_SAMPLE_EXPLAINED	EXPLAINED\DEREGULATED	IS_PHENOTYPE
A2M_UP	32	21	0.06	16	0.05	0.76	N	0.00000
AATF_UP	10	3	0.01	2	0.01	0.67	N	0.00000
ABCA1_UP	9	252	0.77	7	0.02	0.03	N	0.00000
ABCB1_UP	16	7	0.02	1	0.00	0.14	N	0.00000
ABCC3_UP	4	114	0.35	4	0.01	0.04	N	0.00000
ABL1_UP	143	2	0.01	2	0.01	1.00	N	0.00000
ACAN_UP	18	10	0.03	9	0.03	0.90	N	0.00000
ACOX2_UP	6	34	0.10	1	0.00	0.03	N	0.00000
ACSL1_UP	8	12	0.04	1	0.00	0.08	N	0.00000
ACTA2_UP	100	85	0.26	64	0.20	0.75	N	0.00000
ACTC1_UP	206	4	0.01	3	0.01	0.75	N	0.00000
ACTG2_UP	91	40	0.12	27	0.08	0.68	N	0.00000
ACTL6A_UP	48	296	0.90	105	0.32	0.35	N	0.00000
ACTN1_UP	137	43	0.13	32	0.10	0.74	Y	0.00000
ACTN4_UP	132	4	0.01	3	0.01	0.75	N	0.00000
ACVR1_UP	58	1	0.00	1	0.00	1.00	N	0.00000
ACVRL1_UP	51	1	0.00	1	0.00	1.00	N	0.00000
ADAM10_UP	37	20	0.06	11	0.03	0.55	N	0.00000
ADAM12_UP	30	2	0.01	2	0.01	1.00	N	0.00000
ADAM15_UP	31	2	0.01	2	0.01	1.00	N	0.00000
ADAM17_UP	56	7	0.02	7	0.02	1.00	N	0.00000
ADAM9_UP	12	198	0.60	19	0.06	0.10	N	0.00000
ADAMTS1_UP	3	38	0.12	2	0.01	0.05	N	0.00000
ADAMTS5_UP	3	34	0.10	2	0.01	0.06	N	0.00000
ADCY7_UP	36	8	0.02	3	0.01	0.38	N	0.00000
ADCY8_UP	23	7	0.02	6	0.02	0.86	N	0.00000
ADM_UP	7	187	0.57	14	0.04	0.07	N	0.00000
ADORA2A_UP	38	2	0.01	1	0.00	0.50	N	0.00000
ADORA2B_UP	33	3	0.01	1	0.00	0.33	N	0.00000
ADORA3_UP	31	82	0.25	10	0.03	0.12	N	0.00000
ADRA2A_UP	28	1	0.00	1	0.00	1.00	N	0.00000
AEBP1_UP	3	186	0.57	10	0.03	0.05	N	0.00000
AGER_UP	5	4	0.01	1	0.00	0.25	N	0.00000
AGTR1_UP	44	1	0.00	1	0.00	1.00	N	0.00000
AGTR2_UP	44	3	0.01	1	0.00	0.33	N	0.00000
AHCTF1_UP	77	4	0.01	2	0.01	0.50	N	0.00000
AHNAK_UP	2	4	0.01	3	0.01	0.75	N	0.00000
AHR_UP	24	75	0.23	12	0.04	0.16	N	0.00000
AHSG_UP	13	1	0.00	1	0.00	1.00	N	0.00000
AIFM1_UP	17	11	0.03	4	0.01	0.36	N	0.00000
AKAP13_UP	28	3	0.01	1	0.00	0.33	N	0.00000
AKT1_UP	276	4	0.01	4	0.01	1.00	N	0.00000
AKT3_UP	125	1	0.00	1	0.00	1.00	N	0.00000
ALDH1A3_UP	1	22	0.07	5	0.02	0.23	N	0.00000
ALMS1_UP	66	1	0.00	1	0.00	1.00	N	0.00000
ALOX12B_UP	1	1	0.00	1	0.00	1.00	N	0.00000
ALOX5_UP	4	3	0.01	3	0.01	1.00	N	0.00000
ALOX5AP_UP	11	95	0.29	61	0.19	0.64	N	0.00000
ANAPC1_UP	75	1	0.00	1	0.00	1.00	N	0.00000
ANAPC10_UP	75	7	0.02	6	0.02	0.86	N	0.00000
ANAPC2_UP	77	1	0.00	1	0.00	1.00	N	0.00000
ANG_UP	5	36	0.11	11	0.03	0.31	N	0.00000
ANGPT1_UP	37	62	0.19	21	0.06	0.34	N	0.00000
ANGPT2_UP	9	188	0.57	24	0.07	0.13	N	0.00000
ANGPTL4_UP	6	54	0.16	1	0.00	0.02	N	0.00000
ANP32A_UP	8	26	0.08	17	0.05	0.65	N	0.00000
ANXA1_UP	7	293	0.89	183	0.56	0.62	Y	0.00000
ANXA2_UP	7	197	0.60	147	0.45	0.75	Y	0.00000
ANXA3_UP	1	20	0.06	1	0.00	0.05	N	0.00000
ANXA4_UP	1	84	0.26	1	0.00	0.01	N	0.00000
ANXA5_UP	2	171	0.52	118	0.36	0.69	Y	0.00000
AP1M2_UP	21	5	0.02	3	0.01	0.60	N	0.00000
AP1S2_UP	21	4	0.01	4	0.01	1.00	N	0.00000
APBB2_UP	22	13	0.04	6	0.02	0.46	N	0.00000
APH1A_UP	39	14	0.04	12	0.04	0.86	N	0.00000
APOA1_UP	40	2	0.01	1	0.00	0.50	N	0.00000
APOA2_UP	24	1	0.00	1	0.00	1.00	N	0.00000
APOB_UP	33	2	0.01	2	0.01	1.00	N	0.00000
APOBEC3G_UP	51	108	0.33	10	0.03	0.09	N	0.00000
APOC1_UP	3	202	0.62	1	0.00	0.00	N	0.00000
APOC2_UP	10	48	0.15	11	0.03	0.23	N	0.00000
APOC3_UP	19	1	0.00	1	0.00	1.00	N	0.00000
AQP1_UP	3	265	0.81	72	0.22	0.27	Y	0.00000
AQP4_UP	3	18	0.05	4	0.01	0.22	N	0.00000
AR_UP	206	8	0.02	8	0.02	1.00	N	0.00000
ARAF_UP	32	5	0.02	4	0.01	0.80	N	0.00000
AREG_UP	14	25	0.08	9	0.03	0.36	N	0.00000
ARF4_UP	19	5	0.02	1	0.00	0.20	N	0.00000
ARF6_UP	101	1	0.00	1	0.00	1.00	N	0.00000
ARFGAP3_UP	10	22	0.07	6	0.02	0.27	N	0.00000
ARHGAP15_UP	19	27	0.08	2	0.01	0.07	N	0.00000
ARHGAP5_UP	49	1	0.00	1	0.00	1.00	N	0.00000
ARHGDIB_UP	57	57	0.17	52	0.16	0.91	N	0.00000
ARHGEF6_UP	63	6	0.02	3	0.01	0.50	N	0.00000
ARHGEF7_UP	61	4	0.01	1	0.00	0.25	N	0.00000
ARID3A_UP	9	1	0.00	1	0.00	1.00	N	0.00000
ARNTL2_UP	12	10	0.03	2	0.01	0.20	N	0.00000
ARPC1B_UP	23	81	0.25	4	0.01	0.05	N	0.00000
ARRB1_UP	182	1	0.00	1	0.00	1.00	N	0.00000
ASCL1_UP	8	28	0.09	4	0.01	0.14	N	0.00000
ASF1B_UP	9	20	0.06	2	0.01	0.10	N	0.00000
ASPM_UP	3	194	0.59	26	0.08	0.13	Y	0.00000
ATF1_UP	77	36	0.11	34	0.10	0.94	N	0.00000
ATF3_UP	20	82	0.25	49	0.15	0.60	Y	0.00000
ATF5_UP	5	1	0.00	1	0.00	1.00	N	0.00000
ATM_UP	50	31	0.09	25	0.08	0.81	N	0.00000
ATN1_UP	13	2	0.01	1	0.00	0.50	N	0.00000
AURKA_UP	105	16	0.05	14	0.04	0.88	N	0.00000
AURKB_UP	164	25	0.08	22	0.07	0.88	N	0.00000
AXL_UP	17	2	0.01	1	0.00	0.50	N	0.00000
BACE2_UP	18	76	0.23	17	0.05	0.22	N	0.00000
BAG2_UP	3	23	0.07	2	0.01	0.09	N	0.00000
BAG4_UP	24	1	0.00	1	0.00	1.00	N	0.00000
BAMBI_UP	62	19	0.06	6	0.02	0.32	N	0.00000
BARD1_UP	46	108	0.33	75	0.23	0.69	Y	0.00000
BAX_UP	32	9	0.03	6	0.02	0.67	N	0.00000
BAZ1A_UP	4	120	0.37	24	0.07	0.20	N	0.00000
BAZ1B_UP	29	15	0.05	9	0.03	0.60	N	0.00000
BAZ2B_UP	4	71	0.22	2	0.01	0.03	N	0.00000
BCAN_UP	2	49	0.15	3	0.01	0.06	N	0.00000
BCAR3_UP	4	8	0.02	1	0.00	0.12	N	0.00000
BCAT1_UP	2	65	0.20	1	0.00	0.02	N	0.00000
BCHE_UP	4	232	0.71	2	0.01	0.01	N	0.00000
BCKDHB_UP	3	2	0.01	1	0.00	0.50	N	0.00000
BCL2A1_UP	10	112	0.34	21	0.06	0.19	N	0.00000
BCL6_UP	33	15	0.05	4	0.01	0.27	N	0.00000
BCOR_UP	6	8	0.02	1	0.00	0.12	N	0.00000
BGN_UP	6	17	0.05	3	0.01	0.18	N	0.00000
BID_UP	35	7	0.02	2	0.01	0.29	N	0.00000
BIK_UP	6	17	0.05	1	0.00	0.06	N	0.00000
BIN2_UP	13	2	0.01	1	0.00	0.50	N	0.00000
BIRC3_UP	52	31	0.09	22	0.07	0.71	N	0.00000
BIRC5_UP	105	161	0.49	120	0.37	0.75	Y	0.00000
BLK_UP	56	1	0.00	1	0.00	1.00	N	0.00000
BLM_UP	37	95	0.29	59	0.18	0.62	Y	0.00000
BLNK_UP	48	74	0.23	23	0.07	0.31	N	0.00000
BMP1_UP	29	1	0.00	1	0.00	1.00	N	0.00000
BMP2_UP	61	41	0.12	25	0.08	0.61	N	0.00000
BMP4_UP	59	6	0.02	5	0.02	0.83	N	0.00000
BMP5_UP	26	9	0.03	2	0.01	0.22	N	0.00000
BMPR1A_UP	73	6	0.02	3	0.01	0.50	N	0.00000
BMPR1B_UP	75	1	0.00	1	0.00	1.00	N	0.00000
BNC2_UP	1	12	0.04	1	0.00	0.08	N	0.00000
BNIP2_UP	4	39	0.12	1	0.00	0.03	N	0.00000
BPGM_UP	2	7	0.02	1	0.00	0.14	N	0.00000
BRCA1_UP	126	5	0.02	5	0.02	1.00	N	0.00000
BRCA2_UP	29	2	0.01	2	0.01	1.00	N	0.00000
BST1_UP	3	1	0.00	1	0.00	1.00	N	0.00000
BTG1_UP	7	85	0.26	1	0.00	0.01	N	0.00000
BTG3_UP	1	91	0.28	1	0.00	0.01	N	0.00000
BTK_UP	95	3	0.01	2	0.01	0.67	N	0.00000
BTN3A3_UP	4	96	0.29	60	0.18	0.62	N	0.00000
BUB1B_UP	137	161	0.49	49	0.15	0.30	N	0.00000
C1QA_UP	44	208	0.63	83	0.25	0.40	N	0.00000
C1QB_UP	42	195	0.59	77	0.23	0.39	N	0.00000
C1S_UP	44	162	0.49	81	0.25	0.50	N	0.00000
C2_UP	55	52	0.16	38	0.12	0.73	N	0.00000
C3_UP	36	88	0.27	51	0.16	0.58	N	0.00000
C3AR1_UP	6	30	0.09	18	0.05	0.60	N	0.00000
C4BPA_UP	5	14	0.04	4	0.01	0.29	N	0.00000
C5_UP	39	4	0.01	2	0.01	0.50	N	0.00000
C5AR1_UP	43	101	0.31	34	0.10	0.34	N	0.00000
C7_UP	12	20	0.06	12	0.04	0.60	N	0.00000
C8G_UP	7	1	0.00	1	0.00	1.00	N	0.00000
CA12_UP	2	163	0.50	1	0.00	0.01	N	0.00000
CA2_UP	3	26	0.08	1	0.00	0.04	N	0.00000
CACNA2D2_UP	9	5	0.02	1	0.00	0.20	N	0.00000
CALD1_UP	9	129	0.39	83	0.25	0.64	N	0.00000
CALML3_UP	63	2	0.01	2	0.01	1.00	N	0.00000
CALML5_UP	60	3	0.01	3	0.01	1.00	N	0.00000
CANX_UP	3	7	0.02	1	0.00	0.14	N	0.00000
CAPZB_UP	5	1	0.00	1	0.00	1.00	N	0.00000
CARD8_UP	7	19	0.06	9	0.03	0.47	N	0.00000
CASK_UP	28	17	0.05	12	0.04	0.71	N	0.00000
CASP1_UP	42	149	0.45	122	0.37	0.82	Y	0.00000
CASP2_UP	52	1	0.00	1	0.00	1.00	N	0.00000
CASP3_UP	153	95	0.29	86	0.26	0.91	N	0.00000
CASP4_UP	17	109	0.33	80	0.24	0.73	Y	0.00000
CASP6_UP	38	27	0.08	25	0.08	0.93	N	0.00000
CASP7_UP	58	56	0.17	37	0.11	0.66	N	0.00000
CASP8_UP	84	10	0.03	9	0.03	0.90	N	0.00000
CASP9_UP	43	5	0.02	2	0.01	0.40	N	0.00000
CAST_UP	17	12	0.04	9	0.03	0.75	N	0.00000
CAV1_UP	164	208	0.63	196	0.60	0.94	Y	0.00000
CAV2_UP	16	55	0.17	8	0.02	0.15	N	0.00000
CBLC_UP	73	2	0.01	1	0.00	0.50	N	0.00000
CBX3_UP	19	56	0.17	29	0.09	0.52	N	0.00000
CCDC99_UP	77	28	0.09	8	0.02	0.29	N	0.00000
CCL11_UP	46	6	0.02	5	0.02	0.83	N	0.00000
CCL13_UP	7	2	0.01	1	0.00	0.50	N	0.00000
CCL18_UP	28	47	0.14	20	0.06	0.43	N	0.00000
CCL19_UP	36	5	0.02	2	0.01	0.40	N	0.00000
CCL2_UP	32	25	0.08	21	0.06	0.84	N	0.00000
CCL20_UP	47	55	0.17	19	0.06	0.35	N	0.00000
CCL21_UP	49	2	0.01	1	0.00	0.50	N	0.00000
CCL5_UP	75	27	0.08	25	0.08	0.93	N	0.00000
CCL7_UP	16	3	0.01	2	0.01	0.67	N	0.00000
CCNA2_UP	53	118	0.36	106	0.32	0.90	Y	0.00000
CCNB1_UP	89	218	0.66	196	0.60	0.90	Y	0.00000
CCNB2_UP	48	229	0.70	176	0.54	0.77	Y	0.00000
CCND1_UP	123	85	0.26	77	0.23	0.91	Y	0.00000
CCND2_UP	46	17	0.05	14	0.04	0.82	N	0.00000
CCND3_UP	28	1	0.00	1	0.00	1.00	N	0.00000
CCNE1_UP	71	5	0.02	4	0.01	0.80	N	0.00000
CCNE2_UP	42	42	0.13	36	0.11	0.86	N	0.00000
CCNG1_UP	6	7	0.02	3	0.01	0.43	N	0.00000
CCNL2_UP	3	28	0.09	3	0.01	0.11	N	0.00000
CCR1_UP	58	78	0.24	35	0.11	0.45	N	0.00000
CCR5_UP	73	13	0.04	9	0.03	0.69	N	0.00000
CCR6_UP	38	1	0.00	1	0.00	1.00	N	0.00000
CCR7_UP	43	2	0.01	2	0.01	1.00	N	0.00000
CCRL1_UP	11	4	0.01	2	0.01	0.50	N	0.00000
CCT5_UP	37	2	0.01	1	0.00	0.50	N	0.00000
CCT6A_UP	35	23	0.07	5	0.02	0.22	Y	0.00000
CD14_UP	29	230	0.70	56	0.17	0.24	N	0.00000
CD151_UP	9	38	0.12	6	0.02	0.16	N	0.00000
CD163_UP	4	254	0.77	1	0.00	0.00	N	0.00000
CD180_UP	4	4	0.01	2	0.01	0.50	N	0.00000
CD19_UP	33	1	0.00	1	0.00	1.00	N	0.00000
CD1C_UP	8	2	0.01	2	0.01	1.00	N	0.00000
CD1D_UP	9	2	0.01	2	0.01	1.00	N	0.00000
CD2_UP	37	16	0.05	12	0.04	0.75	N	0.00000
CD247_UP	99	2	0.01	2	0.01	1.00	N	0.00000
CD27_UP	6	2	0.01	1	0.00	0.50	N	0.00000
CD2AP_UP	17	63	0.19	14	0.04	0.22	N	0.00000
CD300A_UP	6	3	0.01	1	0.00	0.33	N	0.00000
CD34_UP	3	8	0.02	3	0.01	0.38	N	0.00000
CD36_UP	28	35	0.11	18	0.05	0.51	N	0.00000
CD37_UP	26	37	0.11	33	0.10	0.89	N	0.00000
CD38_UP	6	30	0.09	19	0.06	0.63	Y	0.00000
CD3D_UP	82	20	0.06	15	0.05	0.75	N	0.00000
CD3G_UP	77	1	0.00	1	0.00	1.00	N	0.00000
CD4_UP	158	20	0.06	18	0.05	0.90	N	0.00000
CD40_UP	36	1	0.00	1	0.00	1.00	N	0.00000
CD44_UP	64	280	0.85	247	0.75	0.88	Y	0.00000
CD46_UP	6	20	0.06	4	0.01	0.20	N	0.00000
CD47_UP	15	3	0.01	2	0.01	0.67	N	0.00000
CD48_UP	23	53	0.16	35	0.11	0.66	N	0.00000
CD52_UP	27	18	0.05	14	0.04	0.78	N	0.00000
CD53_UP	41	60	0.18	53	0.16	0.88	N	0.00000
CD55_UP	7	22	0.07	7	0.02	0.32	N	0.00000
CD58_UP	1	92	0.28	8	0.02	0.09	N	0.00000
CD69_UP	7	37	0.11	20	0.06	0.54	N	0.00000
CD70_UP	3	5	0.02	1	0.00	0.20	N	0.00000
CD74_UP	32	105	0.32	82	0.25	0.78	N	0.00000
CD79A_UP	62	2	0.01	2	0.01	1.00	N	0.00000
CD79B_UP	48	1	0.00	1	0.00	1.00	N	0.00000
CD82_UP	8	1	0.00	1	0.00	1.00	N	0.00000
CD86_UP	48	25	0.08	21	0.06	0.84	N	0.00000
CD8B_UP	53	1	0.00	1	0.00	1.00	N	0.00000
CD9_UP	23	91	0.28	31	0.09	0.34	N	0.00000
CD93_UP	3	217	0.66	3	0.01	0.01	N	0.00000
CD97_UP	6	32	0.10	8	0.02	0.25	N	0.00000
CDC2_UP	287	143	0.44	141	0.43	0.99	Y	0.00000
CDC20_UP	153	210	0.64	177	0.54	0.84	Y	0.00000
CDC23_UP	75	11	0.03	11	0.03	1.00	N	0.00000
CDC25B_UP	25	12	0.04	10	0.03	0.83	N	0.00000
CDC45L_UP	39	32	0.10	30	0.09	0.94	N	0.00000
CDC6_UP	86	24	0.07	22	0.07	0.92	N	0.00000
CDC7_UP	34	57	0.17	53	0.16	0.93	Y	0.00000
CDC73_UP	1	29	0.09	1	0.00	0.03	N	0.00000
CDCA3_UP	1	46	0.14	32	0.10	0.70	N	0.00000
CDCA8_UP	86	13	0.04	9	0.03	0.69	N	0.00000
CDH1_UP	185	8	0.02	7	0.02	0.88	N	0.00000
CDH11_UP	105	67	0.20	39	0.12	0.58	Y	0.00000
CDH17_UP	106	2	0.01	2	0.01	1.00	N	0.00000
CDH19_UP	105	16	0.05	9	0.03	0.56	N	0.00000
CDH2_UP	115	5	0.02	4	0.01	0.80	N	0.00000
CDH3_UP	141	13	0.04	12	0.04	0.92	N	0.00000
CDH4_UP	105	6	0.02	4	0.01	0.67	N	0.00000
CDH5_UP	115	20	0.06	17	0.05	0.85	N	0.00000
CDK2_UP	199	25	0.08	24	0.07	0.96	N	0.00000
CDK4_UP	128	249	0.76	223	0.68	0.90	Y	0.00000
CDK5RAP2_UP	68	8	0.02	4	0.01	0.50	N	0.00000
CDK7_UP	167	3	0.01	3	0.01	1.00	N	0.00000
CDKN1A_UP	136	44	0.13	29	0.09	0.66	N	0.00000
CDKN1B_UP	121	1	0.00	1	0.00	1.00	N	0.00000
CDKN2A_UP	54	46	0.14	44	0.13	0.96	Y	0.00000
CDKN2C_UP	15	215	0.66	177	0.54	0.82	Y	0.00000
CDKN3_UP	7	89	0.27	6	0.02	0.07	N	0.00000
CDT1_UP	29	2	0.01	2	0.01	1.00	N	0.00000
CEACAM1_UP	12	2	0.01	2	0.01	1.00	N	0.00000
CEACAM5_UP	4	10	0.03	2	0.01	0.20	N	0.00000
CEACAM6_UP	5	18	0.05	2	0.01	0.11	N	0.00000
CEBPA_UP	127	21	0.06	19	0.06	0.90	N	0.00000
CEBPB_UP	95	16	0.05	14	0.04	0.88	N	0.00000
CEBPG_UP	8	11	0.03	1	0.00	0.09	N	0.00000
CEBPZ_UP	3	1	0.00	1	0.00	1.00	N	0.00000
CECR1_UP	7	20	0.06	15	0.05	0.75	N	0.00000
CENPA_UP	85	75	0.23	23	0.07	0.31	N	0.00000
CENPE_UP	81	55	0.17	20	0.06	0.36	N	0.00000
CENPF_UP	77	125	0.38	26	0.08	0.21	N	0.00000
CENPM_UP	77	19	0.06	7	0.02	0.37	N	0.00000
CENPN_UP	77	20	0.06	6	0.02	0.30	N	0.00000
CENPQ_UP	77	11	0.03	4	0.01	0.36	N	0.00000
CEP135_UP	66	18	0.05	4	0.01	0.22	N	0.00000
CEP152_UP	66	6	0.02	2	0.01	0.33	N	0.00000
CEP192_UP	66	3	0.01	2	0.01	0.67	N	0.00000
CEP290_UP	66	1	0.00	1	0.00	1.00	N	0.00000
CEP57_UP	69	5	0.02	1	0.00	0.20	N	0.00000
CEP76_UP	66	6	0.02	2	0.01	0.33	N	0.00000
CETN3_UP	2	6	0.02	1	0.00	0.17	N	0.00000
CFD_UP	5	35	0.11	11	0.03	0.31	N	0.00000
CFH_UP	4	32	0.10	11	0.03	0.34	N	0.00000
CFI_UP	2	229	0.70	57	0.17	0.25	N	0.00000
CFLAR_UP	34	6	0.02	4	0.01	0.67	N	0.00000
CFTR_UP	37	1	0.00	1	0.00	1.00	N	0.00000
CHAF1A_UP	30	2	0.01	1	0.00	0.50	N	0.00000
CHD1_UP	2	83	0.25	12	0.04	0.14	N	0.00000
CHD7_UP	4	52	0.16	7	0.02	0.13	N	0.00000
CHD9_UP	11	2	0.01	1	0.00	0.50	N	0.00000
CHEK1_UP	54	51	0.16	49	0.15	0.96	N	0.00000
CHEK2_UP	31	14	0.04	13	0.04	0.93	N	0.00000
CHI3L2_UP	1	250	0.76	3	0.01	0.01	N	0.00000
CHRNA1_UP	46	3	0.01	1	0.00	0.33	N	0.00000
CHUK_UP	86	3	0.01	2	0.01	0.67	N	0.00000
CIB1_UP	11	12	0.04	6	0.02	0.50	N	0.00000
CISH_UP	29	3	0.01	1	0.00	0.33	N	0.00000
CITED1_UP	30	19	0.06	2	0.01	0.11	N	0.00000
CITED2_UP	22	11	0.03	4	0.01	0.36	N	0.00000
CKS1B_UP	62	115	0.35	83	0.25	0.72	N	0.00000
CKS2_UP	13	286	0.87	121	0.37	0.42	N	0.00000
CLCN5_UP	4	2	0.01	1	0.00	0.50	N	0.00000
CLDN1_UP	13	9	0.03	5	0.02	0.56	N	0.00000
CLDN3_UP	7	8	0.02	1	0.00	0.12	N	0.00000
CLDN4_UP	5	18	0.05	1	0.00	0.06	N	0.00000
CLDN7_UP	6	24	0.07	8	0.02	0.33	N	0.00000
CLEC10A_UP	2	4	0.01	3	0.01	0.75	N	0.00000
CLEC5A_UP	1	107	0.33	20	0.06	0.19	N	0.00000
CLIC1_UP	3	215	0.66	9	0.03	0.04	N	0.00000
CLK1_UP	15	83	0.25	46	0.14	0.55	Y	0.00000
CLOCK_UP	20	1	0.00	1	0.00	1.00	N	0.00000
CNGA3_UP	16	125	0.38	8	0.02	0.06	N	0.00000
CNN3_UP	1	221	0.67	6	0.02	0.03	N	0.00000
CNOT2_UP	13	11	0.03	2	0.01	0.18	N	0.00000
CNTN2_UP	14	1	0.00	1	0.00	1.00	N	0.00000
COL11A1_UP	80	69	0.21	60	0.18	0.87	Y	0.00000
COL13A1_UP	69	1	0.00	1	0.00	1.00	N	0.00000
COL15A1_UP	74	47	0.14	15	0.05	0.32	N	0.00000
COL16A1_UP	69	7	0.02	3	0.01	0.43	N	0.00000
COL17A1_UP	71	2	0.01	2	0.01	1.00	N	0.00000
COL18A1_UP	72	46	0.14	20	0.06	0.43	N	0.00000
COL1A1_UP	106	57	0.17	50	0.15	0.88	N	0.00000
COL1A2_UP	100	176	0.54	160	0.49	0.91	Y	0.00000
COL2A1_UP	85	4	0.01	4	0.01	1.00	N	0.00000
COL3A1_UP	86	253	0.77	228	0.70	0.90	Y	0.00000
COL4A1_UP	94	302	0.92	273	0.83	0.90	Y	0.00000
COL4A2_UP	94	259	0.79	229	0.70	0.88	Y	0.00000
COL4A4_UP	86	2	0.01	2	0.01	1.00	N	0.00000
COL4A5_UP	81	32	0.10	22	0.07	0.69	N	0.00000
COL5A1_UP	87	78	0.24	70	0.21	0.90	N	0.00000
COL5A2_UP	79	222	0.68	203	0.62	0.91	Y	0.00000
COL5A3_UP	78	4	0.01	4	0.01	1.00	N	0.00000
COL6A2_UP	84	68	0.21	63	0.19	0.93	N	0.00000
COL6A3_UP	91	132	0.40	120	0.37	0.91	Y	0.00000
COL8A2_UP	70	7	0.02	1	0.00	0.14	N	0.00000
COL9A1_UP	76	6	0.02	3	0.01	0.50	N	0.00000
COL9A2_UP	73	5	0.02	3	0.01	0.60	N	0.00000
COL9A3_UP	73	39	0.12	22	0.07	0.56	N	0.00000
COMP_UP	36	3	0.01	3	0.01	1.00	N	0.00000
COPZ2_UP	5	51	0.16	1	0.00	0.02	N	0.00000
CORO1A_UP	28	1	0.00	1	0.00	1.00	N	0.00000
CORO2A_UP	3	6	0.02	2	0.01	0.33	N	0.00000
COTL1_UP	1	88	0.27	2	0.01	0.02	N	0.00000
CP_UP	4	109	0.33	28	0.09	0.26	N	0.00000
CPA3_UP	5	19	0.06	2	0.01	0.11	N	0.00000
CPB2_UP	9	4	0.01	3	0.01	0.75	N	0.00000
CPD_UP	1	19	0.06	1	0.00	0.05	N	0.00000
CPS1_UP	4	23	0.07	1	0.00	0.04	N	0.00000
CR2_UP	5	2	0.01	2	0.01	1.00	N	0.00000
CREB3L2_UP	10	62	0.19	20	0.06	0.32	Y	0.00000
CRIP1_UP	1	49	0.15	1	0.00	0.02	N	0.00000
CRLF3_UP	4	2	0.01	1	0.00	0.50	N	0.00000
CRY1_UP	9	53	0.16	14	0.04	0.26	N	0.00000
CSF1R_UP	24	32	0.10	4	0.01	0.12	N	0.00000
CSF2RB_UP	59	31	0.09	27	0.08	0.87	N	0.00000
CSK_UP	128	2	0.01	2	0.01	1.00	N	0.00000
CSNK1D_UP	151	2	0.01	2	0.01	1.00	N	0.00000
CSPG4_UP	1	32	0.10	6	0.02	0.19	N	0.00000
CSRP2_UP	2	274	0.84	1	0.00	0.00	N	0.00000
CST7_UP	3	6	0.02	1	0.00	0.17	N	0.00000
CSTA_UP	10	128	0.39	43	0.13	0.34	N	0.00000
CSTB_UP	6	2	0.01	2	0.01	1.00	N	0.00000
CSTF1_UP	108	1	0.00	1	0.00	1.00	N	0.00000
CTGF_UP	17	40	0.12	23	0.07	0.57	N	0.00000
CTNNAL1_UP	102	55	0.17	34	0.10	0.62	Y	0.00000
CTNND1_UP	43	15	0.05	9	0.03	0.60	N	0.00000
CTPS_UP	11	6	0.02	1	0.00	0.17	N	0.00000
CTSB_UP	25	5	0.02	4	0.01	0.80	N	0.00000
CTSC_UP	2	221	0.67	20	0.06	0.09	N	0.00000
CTSD_UP	15	19	0.06	7	0.02	0.37	N	0.00000
CTSH_UP	2	5	0.02	3	0.01	0.60	N	0.00000
CTSK_UP	9	81	0.25	28	0.09	0.35	N	0.00000
CTSL1_UP	21	22	0.07	18	0.05	0.82	N	0.00000
CTSL2_UP	5	15	0.05	2	0.01	0.13	N	0.00000
CTSS_UP	18	188	0.57	94	0.29	0.50	N	0.00000
CTTN_UP	48	1	0.00	1	0.00	1.00	N	0.00000
CUBN_UP	7	2	0.01	2	0.01	1.00	N	0.00000
CUGBP1_UP	4	4	0.01	1	0.00	0.25	N	0.00000
CUL4A_UP	13	7	0.02	6	0.02	0.86	N	0.00000
CUL4B_UP	11	7	0.02	2	0.01	0.29	N	0.00000
CXCL1_UP	43	31	0.09	1	0.00	0.03	N	0.00000
CXCL10_UP	35	144	0.44	22	0.07	0.15	N	0.00000
CXCL11_UP	35	52	0.16	10	0.03	0.19	N	0.00000
CXCL12_UP	85	14	0.04	13	0.04	0.93	N	0.00000
CXCL13_UP	8	29	0.09	2	0.01	0.07	N	0.00000
CXCL2_UP	30	44	0.13	1	0.00	0.02	N	0.00000
CXCL3_UP	30	25	0.08	1	0.00	0.04	N	0.00000
CXCL6_UP	28	19	0.06	1	0.00	0.05	N	0.00000
CXCL9_UP	36	57	0.17	16	0.05	0.28	N	0.00000
CXCR4_UP	98	208	0.63	164	0.50	0.79	N	0.00000
CXCR7_UP	27	187	0.57	22	0.07	0.12	N	0.00000
CYB5A_UP	3	17	0.05	2	0.01	0.12	N	0.00000
CYBA_UP	16	102	0.31	67	0.20	0.66	N	0.00000
CYBB_UP	22	55	0.17	51	0.16	0.93	N	0.00000
CYP51A1_UP	1	4	0.01	1	0.00	0.25	N	0.00000
CYR61_UP	13	121	0.37	60	0.18	0.50	N	0.00000
DAB2_UP	17	71	0.22	13	0.04	0.18	N	0.00000
DAPP1_UP	24	1	0.00	1	0.00	1.00	N	0.00000
DARC_UP	8	1	0.00	1	0.00	1.00	N	0.00000
DAXX_UP	70	1	0.00	1	0.00	1.00	N	0.00000
DAZ4_UP	5	12	0.04	1	0.00	0.08	N	0.00000
DAZAP1_UP	3	3	0.01	1	0.00	0.33	N	0.00000
