   7295 
      5 CACNA1B
      4 CACNA1C
      4 CACNA1D
      5 CACNA1E
      1 CACNA1F
      1 CACNA1G
     11 CACNA1H
      4 CACNA1I
      7 CACNA1S
      1 CACNA2D2_UP
     15 CACNA2D3_DOWN
     11 CACNB2_DOWN
      1 CACNB3
      9 CACNB3_DOWN
     11 CACNB4_DOWN
      1 CACNG2
     15 CACNG3_DOWN
      1 CAD
    101 CALB1_DOWN
      2 CALB2_DOWN
      1 CALCA
      7 CALCR
      4 CALD1
    419 CALD1_UP
      1 CALM1
    137 CALM1_DOWN
      4 CALML3
     12 CALML3_UP
      5 CALML5
     12 CALML5_UP
      1 CALML6
      1 CAMK2A
     63 CAMK2A_DOWN
      6 CAMK2B
    834 CAMK2B_DOWN
      7 CAMK2G
    498 CAMK2G_DOWN
      1 CAMKK2
      9 CANX_UP
      3 CAP2_DOWN
      2 CAPN1
      7 CAPN2_DOWN
      7 CAPNS1_DOWN
      1 CAPZB
      6 CAPZB_UP
      3 CARD11
     67 CARD8_UP
      1 CARM1
     44 CASK_UP
      1 CASP1
      1 CASP14
    456 CASP1_UP
      2 CASP2
      8 CASP2_UP
      1 CASP3
    538 CASP3_UP
    364 CASP4_UP
    191 CASP6_UP
      5 CASP7
    177 CASP7_UP
     48 CASP8_UP
      2 CASP9
     11 CASP9_UP
      2 CAST
     43 CAST_UP
      3 CAV1
   1009 CAV1_UP
      2 CAV2
      9 CAV2_UP
      1 CBFA2T3
      2 CBL
      1 CBLB
      2 CBLC_UP
      2 CBX3
    181 CBX3_UP
      1 CBX5
      6 CCAR1
      2 CCDC6
      1 CCDC99
     11 CCDC99_UP
      1 CCK
      2 CCKAR
     10 CCKBR_DOWN
     10 CCK_DOWN
      1 CCL11
     23 CCL11_UP
     19 CCL13_UP
      1 CCL14
     57 CCL18_UP
      1 CCL19
      2 CCL19_UP
      2 CCL2
     73 CCL20_UP
      1 CCL21_UP
      5 CCL26
    119 CCL2_UP
      3 CCL3L1
    157 CCL5_UP
      1 CCL7
     11 CCL7_UP
      1 CCL8
      1 CCNA1
    257 CCNA1_DOWN
      1 CCNA2
    497 CCNA2_UP
      1 CCNB1
    855 CCNB1_UP
    630 CCNB2_UP
      2 CCNB3
      1 CCNC
    288 CCND1_UP
      5 CCND2
     18 CCND2_DOWN
     53 CCND2_UP
      1 CCND3
      4 CCND3_UP
      3 CCNE1
     21 CCNE1_UP
      2 CCNE2
    203 CCNE2_UP
      1 CCNF
      1 CCNG1
      3 CCNG1_UP
      1 CCNH
     52 CCNH_DOWN
      1 CCNK
      3 CCNL2_UP
      1 CCNT1
      1 CCNT2
      1 CCR1
    158 CCR1_UP
      1 CCR3
      1 CCR4
      1 CCR5
     30 CCR5_UP
      3 CCR6
      1 CCR6_UP
      2 CCR7_UP
      1 CCR8
     27 CCRL1_UP
      8 CCT2
      1 CCT2_DOWN
      3 CCT2_UP
      2 CCT3
      1 CCT3_UP
      2 CCT5
      3 CCT5_UP
     25 CCT6A
     23 CCT6A_UP
    116 CD14_UP
     32 CD151_UP
      1 CD163_UP
      2 CD180
      3 CD180_UP
      3 CD19_UP
      1 CD1C
     26 CD1C_UP
      2 CD1D
      3 CD1D_UP
      1 CD2
      2 CD22
     15 CD247_UP
      3 CD27_UP
      1 CD28
      1 CD2AP
     58 CD2AP_UP
     87 CD2_UP
     13 CD300A_UP
     13 CD34_UP
      5 CD36
     79 CD36_UP
      1 CD37
    193 CD37_UP
     54 CD38_UP
     94 CD3D_UP
      2 CD3E
     10 CD3G
      8 CD3G_UP
      3 CD4
      3 CD40_UP
      3 CD44
    921 CD44_UP
      2 CD46
     31 CD46_UP
      9 CD47_UP
    199 CD48_UP
     81 CD4_UP
     98 CD52_UP
      2 CD53
     25 CD53_DOWN
    262 CD53_UP
     33 CD55_UP
     45 CD58_UP
      1 CD59
      1 CD63
     90 CD69_UP
      1 CD7
      3 CD70_UP
     19 CD74_DOWN
    366 CD74_UP
      8 CD79A_UP
      1 CD79B
      3 CD79B_UP
      1 CD82
      3 CD82_UP
      2 CD86
    135 CD86_UP
      1 CD8A
     27 CD8B_UP
      1 CD9
     10 CD93_UP
      1 CD97
     54 CD97_UP
     10 CD9_DOWN
    112 CD9_UP
      1 CDC14C
      3 CDC2
    697 CDC20_UP
      1 CDC23
     86 CDC23_UP
     70 CDC25B_UP
      5 CDC27
      6 CDC2L1
   1285 CDC2_UP
      3 CDC37
      2 CDC40
      1 CDC40_UP
      2 CDC45L
    187 CDC45L_UP
    167 CDC6_UP
      1 CDC73_UP
    325 CDC7_UP
      2 CDCA3
    205 CDCA3_UP
     45 CDCA8_UP
      1 CDH1
     85 CDH10_DOWN
      2 CDH11_DOWN
     63 CDH11_UP
      1 CDH12
      2 CDH13
      2 CDH15
      2 CDH16
      1 CDH17
      2 CDH17_UP
      7 CDH18
    289 CDH18_DOWN
      2 CDH19
     20 CDH19_UP
     67 CDH1_UP
      1 CDH20
      1 CDH22
     10 CDH23
     66 CDH2_DOWN
     15 CDH2_UP
