CACNA2D2_UP	9	5	0.02	1	0.00	0.20	N	0.87800
CALD1_UP	9	129	0.39	85	0.26	0.66	N	0.00600
CALML3_UP	63	2	0.01	2	0.01	1.00	N	0.99200
CALML5_UP	60	3	0.01	3	0.01	1.00	N	0.61200
CANX_UP	3	7	0.02	1	0.00	0.14	N	0.98400
CAPZB_UP	5	1	0.00	1	0.00	1.00	N	0.99000
CARD8_UP	7	19	0.06	9	0.03	0.47	N	0.29600
CASK_UP	28	17	0.05	14	0.04	0.82	N	0.02600
CASP1_UP	42	149	0.45	122	0.37	0.82	Y	0.00000
CASP2_UP	52	1	0.00	1	0.00	1.00	N	1.00000
CASP3_UP	153	95	0.29	86	0.26	0.91	N	0.16000
CASP4_UP	17	109	0.33	80	0.24	0.73	Y	0.00000
CASP6_UP	38	27	0.08	25	0.08	0.93	N	0.02000
CASP7_UP	58	56	0.17	38	0.12	0.68	N	0.33800
CASP8_UP	84	10	0.03	9	0.03	0.90	N	0.04200
CASP9_UP	43	5	0.02	2	0.01	0.40	N	0.86000
CAST_UP	17	12	0.04	9	0.03	0.75	N	0.12800
CAV1_UP	164	208	0.63	196	0.60	0.94	Y	0.00000
CAV2_UP	16	55	0.17	8	0.02	0.15	N	0.05400
CBLC_UP	73	2	0.01	1	0.00	0.50	N	0.85000
CBX3_UP	19	56	0.17	29	0.09	0.52	N	0.13400
CCDC99_UP	77	28	0.09	8	0.02	0.29	N	0.97800
CCL11_UP	46	6	0.02	5	0.02	0.83	N	0.93800
CCL13_UP	7	2	0.01	1	0.00	0.50	N	1.00000
CCL18_UP	28	47	0.14	20	0.06	0.43	N	0.31200
CCL19_UP	36	5	0.02	2	0.01	0.40	N	0.49600
CCL2_UP	32	25	0.08	21	0.06	0.84	N	0.65200
CCL20_UP	47	55	0.17	19	0.06	0.35	N	0.97600
CCL21_UP	49	2	0.01	1	0.00	0.50	N	0.45200
CCL5_UP	75	27	0.08	25	0.08	0.93	N	0.13800
CCL7_UP	16	3	0.01	2	0.01	0.67	N	0.99400
CCNA2_UP	53	118	0.36	107	0.33	0.91	Y	0.00000
CCNB1_UP	89	218	0.66	196	0.60	0.90	Y	0.00000
CCNB2_UP	48	229	0.70	177	0.54	0.77	Y	0.00000
CCND1_UP	123	85	0.26	77	0.23	0.91	Y	0.00000
CCND2_UP	46	17	0.05	14	0.04	0.82	Y	0.00000
CCND3_UP	28	1	0.00	1	0.00	1.00	N	0.17000
CCNE1_UP	71	5	0.02	4	0.01	0.80	N	0.34800
CCNE2_UP	42	42	0.13	36	0.11	0.86	N	0.09000
CCNG1_UP	6	7	0.02	3	0.01	0.43	Y	0.00000
CCNL2_UP	3	28	0.09	3	0.01	0.11	N	0.01400
CCR1_UP	58	78	0.24	35	0.11	0.45	N	0.95200
CCR5_UP	73	13	0.04	9	0.03	0.69	N	0.64400
CCR6_UP	38	1	0.00	1	0.00	1.00	N	0.04600
CCR7_UP	43	2	0.01	2	0.01	1.00	N	0.01000
CCRL1_UP	11	4	0.01	2	0.01	0.50	N	1.00000
CCT2_UP	36	3	0.01	3	0.01	1.00	N	0.02200
CCT3_UP	32	1	0.00	1	0.00	1.00	N	0.26200
CCT5_UP	37	2	0.01	1	0.00	0.50	N	0.90400
CCT6A_UP	35	23	0.07	19	0.06	0.83	Y	0.00000
CD14_UP	29	230	0.70	56	0.17	0.24	N	0.69400
CD151_UP	9	38	0.12	6	0.02	0.16	N	0.59000
CD163_UP	4	254	0.77	1	0.00	0.00	N	0.99600
CD180_UP	4	4	0.01	2	0.01	0.50	N	0.73800
CD19_UP	33	1	0.00	1	0.00	1.00	N	0.93200
CD1C_UP	8	2	0.01	2	0.01	1.00	N	0.95800
CD1D_UP	9	2	0.01	2	0.01	1.00	N	0.64400
CD2_UP	37	16	0.05	12	0.04	0.75	N	0.32200
CD247_UP	99	2	0.01	2	0.01	1.00	N	0.92400
CD27_UP	6	2	0.01	1	0.00	0.50	N	0.92800
CD2AP_UP	17	63	0.19	14	0.04	0.22	N	0.04600
CD300A_UP	6	3	0.01	1	0.00	0.33	N	1.00000
CD33_UP	9	3	0.01	2	0.01	0.67	N	0.99400
CD34_UP	3	8	0.02	3	0.01	0.38	N	0.78400
CD36_UP	28	35	0.11	21	0.06	0.60	N	0.63200
CD37_UP	26	37	0.11	33	0.10	0.89	N	0.69000
CD38_UP	6	30	0.09	19	0.06	0.63	Y	0.00000
CD3D_UP	82	20	0.06	16	0.05	0.80	N	0.24200
CD3G_UP	77	1	0.00	1	0.00	1.00	N	0.96400
CD4_UP	158	20	0.06	18	0.05	0.90	N	0.65600
CD40_UP	36	1	0.00	1	0.00	1.00	N	0.93200
CD44_UP	64	280	0.85	248	0.76	0.89	Y	0.00000
CD46_UP	6	20	0.06	5	0.02	0.25	N	0.33000
CD47_UP	15	3	0.01	2	0.01	0.67	N	0.41000
CD48_UP	23	53	0.16	35	0.11	0.66	N	0.42200
CD52_UP	27	18	0.05	14	0.04	0.78	N	0.33000
CD53_UP	41	60	0.18	53	0.16	0.88	N	0.06600
CD55_UP	7	22	0.07	7	0.02	0.32	N	0.01400
CD58_UP	1	92	0.28	8	0.02	0.09	N	0.23000
CD69_UP	7	37	0.11	20	0.06	0.54	N	0.20200
CD70_UP	3	5	0.02	1	0.00	0.20	N	0.91800
CD74_UP	32	105	0.32	83	0.25	0.79	N	0.06000
CD79A_UP	62	2	0.01	2	0.01	1.00	N	0.92800
CD79B_UP	48	1	0.00	1	0.00	1.00	N	0.93200
CD80_UP	41	1	0.00	1	0.00	1.00	N	0.92400
CD82_UP	8	1	0.00	1	0.00	1.00	N	0.93800
CD86_UP	48	25	0.08	21	0.06	0.84	N	0.90400
CD8B_UP	53	1	0.00	1	0.00	1.00	N	1.00000
CD9_UP	23	91	0.28	31	0.09	0.34	N	0.11000
CD93_UP	3	217	0.66	3	0.01	0.01	N	0.86800
CD97_UP	6	32	0.10	8	0.02	0.25	N	0.72000
CDC2_UP	287	143	0.44	141	0.43	0.99	N	0.00400
